name,phone,email
יעל כהן,052-4819273,yael.cohen@gmail.com
רועי לוי,053-7721845,roi.levi@walla.co.il
דנה ישראלי,054-9132758,dana.isr@outlook.com
עומר בן חורין,052-6654981,omer.bh@yandex.ru
מאיה אזולאי,050-3918276,maya.az@icloud.com
שחר אלמקייס,052-7449182,shahar.el@walla.co.il
נועה אדרי,054-6283741,noa.edri@gmail.com
איתי ברק,053-9017624,itay.bar@yahoo.com
אדיר חסון,050-6628914,adir.h@outlook.com
לירון מלכה,052-5821764,liron.malka@gmail.com
אלינור ביטון,053-7749128,elinor.bt@walla.co.il
עדי בן דוד,054-7216493,adi.bd@yandex.ru
תומר גולן,050-8927416,tomer.g@outlook.com
הדר סבג,052-6619375,hadar.sav@gmail.com
יוסי חדד,054-8821936,yossi.hd@walla.co.il
גלית פרץ,050-7162849,galit.p@icloud.com
אלון אוחנה,053-6628174,alon.oh@gmail.com
שני אברג'יל,052-6941287,shani.ab@yandex.ru
אסף רוזן,050-5612894,asaf.rzn@outlook.com
רוני עזרא,054-4928711,roni.ez@gmail.com
מיטל רוזן,053-7182046,meital.r@walla.co.il
דולב ביטון,052-7886192,dolev.bt@gmail.com
גיא פרידמן,050-7314928,guy.fri@outlook.com
שיר בן זקן,054-6128743,shir.bz@yandex.ru
עמרי גת,053-6918241,omri.gat@gmail.com
